Measured transfer rate
101230.13
94031.06
104516.73
100393.48
100205.83
105238.98
103597.50
101653.51
101012.70
104431.68
95248.34
103738.59
107319.40
105544.66
102524.45
98112.05
100585.64
104420.53
101845.93
105095.29
95661.31
105162.55
102195.36
98226.59
100402.26
101150.51
99844.00
102512.26
107123.38
100537.54
98855.59
103114.07
102459.97
104370.53
99448.66
101232.39
99670.92
103321.35
95688.15
105465.13
103092.33
98622.36
100446.28
103617.81
114972.54
111299.07
99763.32
103830.78
95297.40
104374.62
93344.70
97201.44
97334.21
102996.01
96699.64
97940.18
104307.61
103947.83
95099.92
103893.51
94898.79
105064.78
98901.94
106634.50
101469.36
108208.28
103948.03
102734.04
112531.74
119867.85
100390.23
106551.39
99813.58
109334.94
96172.54
97230.45
113211.45
98088.43
100179.64
104206.23
99121.58
98690.74
105141.82
96889.75
101434.10
96418.56
95478.00
98764.53
104556.43
100591.51
100057.94
103306.79
104440.60
97737.95
106873.12
99051.26
97604.08
98336.28
101781.05
102118.67
