Measured transfer rate
2296249.92
2292689.66
2286343.87
2299476.46
2294610.12
2276187.73
2242922.01
2267740.47
2287380.62
2259089.04
2221934.31
2234295.38
2260853.07
2258513.20
2292646.04
2165591.40
2258252.27
2298152.18
2308822.48
2326414.98
2229050.52
2257484.48
2282837.20
2263206.81
2265477.35
2243296.11
2280310.48
2323043.43
2273565.07
2251242.80
2263968.74
2267504.29
2264429.90
2270099.36
2276910.82
2267205.93
2235110.23
2259764.45
2261082.77
2229239.20
2252554.80
2285198.82
2264337.50
2286056.42
2310809.84
2226636.33
2305309.10
2238803.72
2279635.73
2254719.48
2137496.75
2083801.04
2074709.51
2132898.99
2114982.83
2088255.40
2117284.69
2117457.47
1985785.85
2225124.38
2265535.26
2239928.27
2271450.59
2283115.83
2280357.92
2261083.06
2270910.63
2242588.62
2264088.49
2222047.56
2270160.44
2217252.12
2291417.95
2268615.15
2259728.90
2259313.89
2306006.84
2246205.22
2251573.58
2251723.44
2275019.87
2221723.44
2252645.22
2293923.89
2264048.86
2248771.28
2243432.28
2260929.34
2266984.04
2249992.04
2237678.88
2225899.46
2287404.42
2287677.92
2233857.47
2244765.69
2251884.12
2300168.42
2286001.77
2259675.20
