Measured transfer rate
96492.33
101388.33
99322.35
96510.75
97972.58
98676.12
99044.74
102182.90
94037.24
115342.48
97486.61
101713.81
96019.96
102609.12
101299.37
98648.40
101749.98
100428.56
61802.72
96052.05
106097.62
101693.87
102345.89
118880.88
102941.58
101692.82
98194.19
104307.98
95737.81
60454.68
122111.34
107446.61
105511.62
98399.47
99689.72
97924.65
110045.60
100186.31
133892.97
103488.18
98946.15
103442.72
100804.35
96255.72
128536.88
97451.46
98512.53
106663.39
97733.39
99948.64
102221.74
99176.05
125225.83
96321.02
101739.40
94731.10
96373.72
94104.39
105277.14
96825.92
101027.66
97718.08
101358.88
105274.50
96091.54
114099.30
135198.62
109165.42
100701.36
102854.03
103738.78
97522.93
99581.90
96894.06
100360.16
100697.74
74082.88
98174.13
99251.41
92316.02
101135.85
102144.10
104744.84
102844.11
116817.22
101688.06
103364.51
104860.02
101423.21
108594.99
105548.27
101236.94
99226.40
101779.30
100061.53
104338.60
104672.49
102919.19
99260.49
99032.54
